"","yy","mm","dd","hh","mm_2","wdir","wspd","gst","wvht","dpd","apd","mwd","pres","atmp","wtmp","dewp","vis","tide"
"1",2024,"01","01","00","18",60,2.1,99,99,99,99,999,1018.6,13.5,14.5,999,99,99
"2",2024,"01","01","01","18",80,1,99,99,99,99,999,1018.6,13.5,14.5,999,99,99
"3",2024,"01","01","02","18",100,1.5,99,99,99,99,999,1018.9,13.7,14.5,999,99,99
"4",2024,"01","01","03","18",80,1.5,99,99,99,99,999,1019.2,13.8,14.5,999,99,99
"5",2024,"01","01","04","18",60,1.5,99,99,99,99,999,1019.2,13.8,14.5,999,99,99
"6",2024,"01","01","05","18",350,4.1,99,99,99,99,999,1019.4,13.7,14.5,999,99,99
"7",2024,"01","01","06","18",20,4.1,99,99,99,99,999,1019.3,13.1,14.5,999,99,99
"8",2024,"01","01","07","18",30,4.1,99,99,99,99,999,1019.6,13,14.5,999,99,99
"9",2024,"01","01","08","18",60,2.6,99,99,99,99,999,1019.5,12.9,14.5,999,99,99
"10",2024,"01","01","09","18",70,4.1,99,99,99,99,999,1019.7,12.7,14.5,999,99,99
"11",2024,"01","01","10","18",70,4.6,99,99,99,99,999,1020.1,12.6,14.5,999,99,99
"12",2024,"01","01","11","18",40,3.6,99,99,99,99,999,1020.1,12.2,14.4,999,99,99
"13",2024,"01","01","12","18",30,2.6,99,99,99,99,999,1020.1,12.2,14.5,999,99,99
"14",2024,"01","01","13","18",60,4.6,99,99,99,99,999,1020.1,12.1,14.5,999,99,99
"15",2024,"01","01","14","18",90,6.2,99,99,99,99,999,1020.5,12,14.4,999,99,99
"16",2024,"01","01","15","18",80,5.7,99,99,99,99,999,1021,11.8,14.4,999,99,99
"17",2024,"01","01","16","18",80,6.7,99,99,99,99,999,1021.4,11.5,14.4,999,99,99
"18",2024,"01","01","17","18",70,7.2,99,99,99,99,999,1022.2,11.2,14.5,999,99,99
"19",2024,"01","01","18","18",70,3.1,99,99,99,99,999,1023.1,11.2,14.4,999,99,99
"20",2024,"01","01","19","18",20,3.6,99,99,99,99,999,1022.8,11.9,14.5,999,99,99
"21",2024,"01","01","20","18",50,5.1,99,99,99,99,999,1021.4,12.9,14.5,999,99,99
"22",2024,"01","01","21","18",30,3.1,99,99,99,99,999,1020.9,13.8,14.5,999,99,99
"23",2024,"01","01","22","18",330,2.6,99,99,99,99,999,1020.8,14.1,14.6,999,99,99
"24",2024,"01","02","00","18",290,6.2,99,99,99,99,999,1021.5,14.1,14.7,999,99,99
"25",2024,"01","02","01","18",290,4.1,99,99,99,99,999,1021.6,13.9,14.6,999,99,99
"26",2024,"01","02","02","18",290,4.1,99,99,99,99,999,1022,14.1,14.6,999,99,99
"27",2024,"01","02","03","18",290,3.6,99,99,99,99,999,1022.4,14.1,14.6,999,99,99
"28",2024,"01","02","04","18",290,3.6,99,99,99,99,999,1022.7,14.2,14.5,999,99,99
"29",2024,"01","02","05","18",310,3.1,99,99,99,99,999,1023,14,14.5,999,99,99
"30",2024,"01","02","06","18",10,1.5,99,99,99,99,999,1023.1,13.6,14.5,999,99,99
"31",2024,"01","02","07","18",0,0,99,99,99,99,999,1023.3,13.2,14.5,999,99,99
"32",2024,"01","02","08","18",260,0.5,99,99,99,99,999,1023.3,13.3,14.5,999,99,99
"33",2024,"01","02","09","18",0,0,99,99,99,99,999,1023.2,13.2,14.6,999,99,99
"34",2024,"01","02","10","18",90,4.1,99,99,99,99,999,1023.1,12.5,14.6,999,99,99
"35",2024,"01","02","11","18",90,6.7,99,99,99,99,999,1023,11.8,14.6,999,99,99
"36",2024,"01","02","12","18",90,6.7,99,99,99,99,999,1022.6,11.6,14.6,999,99,99
"37",2024,"01","02","13","18",100,4.6,99,99,99,99,999,1022.9,10.9,14.5,999,99,99
"38",2024,"01","02","14","18",30,2.1,99,99,99,99,999,1023.7,11.7,14.5,999,99,99
"39",2024,"01","02","15","18",50,2.1,99,99,99,99,999,1023.8,11.9,14.5,999,99,99
"40",2024,"01","02","16","18",160,2.1,99,99,99,99,999,1023.9,12.8,14.5,999,99,99
"41",2024,"01","02","17","18",90,4.1,99,99,99,99,999,1024.3,12.2,14.5,999,99,99
"42",2024,"01","02","18","18",120,2.1,99,99,99,99,999,1024.8,13,14.5,999,99,99
"43",2024,"01","02","19","18",120,2.6,99,99,99,99,999,1023.9,13.2,14.5,999,99,99
"44",2024,"01","02","20","18",170,1.5,99,99,99,99,999,1023.1,13.7,14.5,999,99,99
"45",2024,"01","02","21","18",200,4.6,99,99,99,99,999,1021.6,14.3,14.4,999,99,99
"46",2024,"01","02","22","18",200,9.8,99,99,99,99,999,1020.9,14.3,14.4,999,99,99
"47",2024,"01","02","22","58",190,9.8,99,99,99,99,999,1020.5,14.3,14.4,999,99,99
"48",2024,"01","03","00","18",180,12.4,99,99,99,99,999,1019.5,14.3,14.3,999,99,99
"49",2024,"01","03","02","28",180,12.9,99,99,99,99,999,1018.3,12.9,14.3,999,99,99
"50",2024,"01","03","03","18",240,7.7,99,99,99,99,999,1019,12.5,14.3,999,99,99
"51",2024,"01","03","04","18",270,7.2,99,99,99,99,999,1019.3,11.9,14.4,999,99,99
"52",2024,"01","03","05","18",270,8.2,99,99,99,99,999,1020.1,13.8,14.5,999,99,99
"53",2024,"01","03","06","18",260,8.8,99,99,99,99,999,1020,13.4,14.4,999,99,99
"54",2024,"01","03","07","18",270,7.2,99,99,99,99,999,1020.5,13,14.4,999,99,99
"55",2024,"01","03","08","18",260,7.2,99,99,99,99,999,1020,13.3,14.3,999,99,99
"56",2024,"01","03","09","18",290,9.3,99,99,99,99,999,1019.8,12.8,14.3,999,99,99
"57",2024,"01","03","10","18",260,8.2,99,99,99,99,999,1019.7,13.3,14.4,999,99,99
"58",2024,"01","03","11","18",250,6.2,99,99,99,99,999,1020.7,11.6,14.4,999,99,99
"59",2024,"01","03","12","18",270,3.1,99,99,99,99,999,1019.8,12.2,14.4,999,99,99
"60",2024,"01","03","13","18",210,3.1,99,99,99,99,999,1019.7,12.4,14.5,999,99,99
"61",2024,"01","03","14","18",260,1.5,99,99,99,99,999,1020.2,12.6,14.4,999,99,99
"62",2024,"01","03","15","18",90,5.7,99,99,99,99,999,1020.3,12,14.3,999,99,99
"63",2024,"01","03","16","18",100,3.6,99,99,99,99,999,1021.8,11,14.3,999,99,99
"64",2024,"01","03","17","18",230,1,99,99,99,99,999,1023,11.8,14.3,999,99,99
"65",2024,"01","03","18","18",280,1.5,99,99,99,99,999,1023.5,12,14.3,999,99,99
